smiles,pka,pka (pred)
C12=CC=C(C=CC3=C4N=CC=C3)C4=C1N=CC=C2,12,10.99
C1=CN=CN1,6.95,6.05
C12=CC=C(C=CC=N3)C3=C1N=CC=C2,5.12,7.6
C1(C=CC=C2)=C2N=CN1,5.56,5.07
C12=CC=CC=C1C=CN=C2,5.46,4.95
C12=CC=CC=C1C=C3C(C=CC=C3)=N2,5.62,6.06
C1(C=CC=C2)=C2N=C(C3=CSC=N3)N1,4.56,5.86
C1(C2=CC=CC=N2)=CC=CC=N1,4.54,8.14
O=C(OC)NC1=NC2=C(C=CC=C2)N1,4.53,5.46
C12=CC=CC=C1C=CC=N2,4.93,4.78
C1(C(C=CC=N2)=C2C=C3)=C3C=CC=C1,5.15,4.95
C12=CC=CC=C1C=NN=C2,3.47,4.22
C1(C=CC=C2)=C2C=C(C3=CC=C(C=CC=C4)C4=N3)N=C1,3.66,7.25
C12=CC=C(C=CC=N3)C3=C1C=CC=C2,4.25,4.3
C12=CC=CC=C1C=CN=N2,2.29,3.12
C1=CC=NN1,2.48,2.76
C12=CN=CN=C1C=CC=C2,1.95,1.95
C1=NC=CC=N1,1.3,2.09
N1N=NC=C1,1.17,1.49
C1=NC=CN=C1,0.6,1.21
C12=C(NN=C2)C=CC=C1,1.25,1.85
O=C(N(C1=O)C)N(C2=C1N(C=N2)C)C,0.6,2.07
C12=CC=CC=C1N=CC=N2,0.56,0.84
C12=CC=CC=C1NN=N2,0.42,0.58
O=[N+](C1=CNC=N1)[O-],-0.16,0.93
O=[N+](C1=NC=CN1)[O-],-0.81,-0.5
O=[N+](C1=CC2=C(NN=C2)C=C1)[O-],-0.96,1.75
O=[N+](C1=CC2=C(C=C1)C=NN2)[O-],-0.97,1.75
