smiles,pka,pka (pred)
O=C(NS(C1=CC=CC=C1)(=O)=O)CCC2=CC=CC=C2,4.49,4.15
O=S(CCC1=CC=CC=C1)(NC(C)=O)=O,4.91,5.45
O=S(CCC1=CC=CC=C1)(NC2(C)COC2)=O,10.45,10.72
CS(NC1(COC1)CCC2=CC=CC=C2)(=O)=O,10.05,11.17
O=S(NC1(COC1)CCC2=CC=CC=C2)(C3=CC=CC=C3)=O,10.29,8.63
O=S(NC1(COC1)CCC2=CC=CC=C2)(N(C)C)=O,11.02,9.13
CS(NC1(CSC1)CCC2=CC=CC=C2)(=O)=O,10.45,10.2
O=S(NC1(CSC1)CCC2=CC=CC=C2)(N(C)C)=O,11.93,8.93
CS(N[C@@]1(C[S+]([O-])C1)CCC2=CC=CC=C2)(=O)=O,9.87,9.25
O=S(N[C@@]1(C[S+]([O-])C1)CCC2=CC=CC=C2)(C3=CC=CC=C3)=O,9.8,7.41
O=S(N[C@@]1(C[S+]([O-])C1)CCC2=CC=CC=C2)(N(C)C)=O,10.33,7.48
CS(NC1(CS(C1)(=O)=O)CCC2=CC=CC=C2)(=O)=O,9.44,9.95
O=S(NC1(CS(C1)(=O)=O)CCC2=CC=CC=C2)(C3=CC=CC=C3)=O,10.22,7.05
O=S(NC1(CS(C1)(=O)=O)CCC2=CC=CC=C2)(N(C)C)=O,9.58,7.82
O=S(NC1=NOC(C2=CC=CC=C2)=C1)(C)=O,5.22,6.38
O=S(NC1=NOC(C2=CC=CC=C2)=C1)(C3=CC=CC=C3)=O,6.62,3.62
O=S(NC1=NOC(C2=CC=CC=C2)=C1)(N(C)C)=O,5.62,5.72
O=S(NC(N=N1)=CN1C2=CC=CC=C2)(C)=O,6.34,6.72
O=S(NC(N=N1)=CN1C2=CC=CC=C2)(C3=CC=CC=C3)=O,5.93,4.15
O=S(NC(N=N1)=CN1C2=CC=CC=C2)(N(C)C)=O,6.42,5.6
