smiles,pka,pka (pred)
O=C1N(CC2=CC=CC=C2)C([C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(Br)C=C5)[C@H]31)=O,5.2,9.81
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@@H]4CCCN4[C@@H](C5=CC=CC=C5)[C@H]31)=O,5.6,9.14
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@H]4CCCN4[C@@H](C5=CC=CC=C5)[C@H]31)=O,5.9,8.89
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@H]4CCCN4C[C@H]31)=O,7,9.2
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31)=O,4.5,4.62
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(C(N)=[NH2+])C(F)=C5)[C@H]31)=O,4.2,5.72
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5F)[C@H]31)=O,4.1,2.99
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@@H]4CCCN4[C@@H](C5=C(F)C=C(C(N)=[NH2+])C=C5F)[C@H]31)=O,4.2,3.37
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(C(N)=[NH2+])C(F)=C5F)[C@H]31)=O,3.7,5.4
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@@H]4CCCN4[C@@H](C5=CC(F)=C(C(N)=[NH2+])C(F)=C5)[C@H]31)=O,3.7,6.13
O=C1N(CC2=CC=C(F)C=C2)[C@H](C(C)C)[C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31,6.5,8.36
O=C1N(CC2=CC=C(Cl)C=C2)[C@H](C(C)C)[C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31,6.2,7.9
O=C1N(CC2=CC=C(OC)C=C2)[C@H](C(C)C)[C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31,6.3,7.1
O=C1N(CC2=CC=C(F)C=C2)[C@H](CC)[C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31,6.3,8.14
O=C1N(CC2=CC=C(F)C=C2)[C@H](C=C)[C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31,6,8.58
O=C1N(CC2=CC=C(F)C=C2)[C@H](CCC)[C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31,6.2,8.2
O=C1N(CC2=CC=C(F)C=C2)[C@H](CC=C)[C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31,6.2,8.65
O=C1N(CC2=CC=C(F)C=C2)[C@H](CF)[C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31,6,8.56
O=C1N(CC2=CC=C(F)C=C2)[C@H](C(F)F)[C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31,5.6,8.5
O=C1N(CC2=CC=C(F)C=C2)[C@H](CCF)[C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31,6.1,7.95
O=C1N(CC2=CC=C(F)C=C2)[C@H](CC(F)F)[C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31,6,7.9
O=C1N(CC2=CC=C(F)C=C2)[C@](O)(C(F)(F)F)[C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31,5.5,6.9
O=C1N(CC2=CC=C(F)C=C2)[C@](OC)(C(F)(F)F)[C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31,5.2,6.82
O=C1N(CC2=CC=C(F)C=C2)[C@@](OC)(C(F)(F)F)[C@H]3[C@@H]4CCCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31,4.9,9.11
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@]4([H])[C@@H](O)CCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31)=O,4.1,4.85
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@]4([H])[C@@H](OC)CCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31)=O,3.7,4.96
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@]4([H])[C@@H](F)CCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31)=O,3.4,3.22
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@]4([H])[C@H](O)CCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31)=O,4.2,4.54
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@]4([H])[C@H](OC)CCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31)=O,4.2,4.77
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@]4([H])[C@H](F)CCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31)=O,3.3,3.7
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@]4([H])C(OC)(OC)CCN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31)=O,3.3,3.6
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@]4([H])C[C@@H](O)CN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31)=O,3.9,5.02
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@]4([H])C[C@@H](OC)CN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31)=O,3.6,5.02
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@]4([H])C[C@@H](F)CN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31)=O,3.3,3.02
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@]4([H])C[C@H](O)CN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31)=O,3.9,5.15
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@]4([H])C[C@H](OC)CN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31)=O,3.7,5.09
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@]4([H])C[C@H](F)CN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31)=O,3.3,4.18
O=C1N(CC2=CC=C(F)C=C2)C([C@H]3[C@]4([H])CC(OC)(OC)CN4[C@@H](C5=CC=C(C(N)=[NH2+])C=C5)[C@H]31)=O,3.2,4.25
