smiles,pka,pka (pred)
C[C@]1(C#N)C(N)=N[C@@](C2=CC(NC(C3=NC=C(OC)N=C3)=O)=CC=C2F)(C)CC1,8.5,7.81
C[C@]1(C#N)C(N)=N[C@@](C2=CC(NC(C3=NC=C(OC)N=C3)=O)=CC=C2F)(CF)CC1,7.9,5.35
C[C@@]1(C#N)C(N)=N[C@@](C2=CC(NC(C3=NC=C(OC)N=C3)=O)=CC=C2F)(CF)CC1,7.9,5.73
C[C@]1(C#N)C(N)=N[C@@](C2=CC(NC(C3=NC=C(OC)N=C3)=O)=CC=C2F)(C(F)F)CC1,6,4.59
C[C@]1(C(N(C)C)=O)C(N)=N[C@@](C2=CC(NC(C3=NC=C(F)C=C3)=O)=CC=C2F)(CF)CC1,9.2,7.45
C[C@]1(S(=O)(N(C)C)=O)C(N)=N[C@@](C2=CC(NC(C3=NC=C(F)C=C3)=O)=CC=C2F)(CF)CC1,8,7.53
C[C@]1(S(=O)(C)=O)C(N)=N[C@@](C2=CC(NC(C3=NC=C(OC)N=C3)=O)=CC=C2F)(C)CC1,8.4,8.12
C[C@]1(S(=O)(C)=O)C(N)=N[C@@](C2=NC(NC(C3=NC=C(OCF)N=C3)=O)=CC=C2F)(CF)CC1,7.6,8.26
C[C@]1(S(=O)(C)=O)C(N)=N[C@@](C2=CC(NC(C3=NC=C(OC)N=C3)=O)=CC=C2F)(CF)CC1,7.3,6.62
C[C@]1(S(=O)(C(F)(F)F)=O)C(N)=N[C@@](C2=CC(NC(C3=NC=C(OC(F)(F)O4)C4=C3)=O)=CC=C2F)(C)CC1,7.4,8.28
NC1=N[C@@](C2=CC(NC(C3=NC=C(F)C=C3)=O)=CC=C2F)(C)CC[C@@]1(CF)S(C)(=O)=O,7.4,7.29
C[C@]1(S(C)(=O)=O)C(N)=N[C@@](C2=CC(NC(C3=NC=C(OC)N=C3)=O)=CC=C2F)(C)[C@@H](F)C1,7,6.85
C[C@]1(S(=O)(C)=O)C(N)=N[C@@](C2=NC(NC(C3=NC=C(F)C=C3)=O)=CS2)(C)CC1,7,8.46
FC1(F)C(N)=N[C@@](C2=CC(NC(C3=NC=C(OCF)N=C3)=O)=CC=C2F)(C)CC1,7.6,6.35
FC1(F)C(N)=N[C@@](C2=CC(NC(C3=NC=C(OCF)N=C3)=O)=CC=C2F)(CF)CC1,6.3,4.98
